score	review
1	I don't know if I would buy thus brand again seems like they don't last as long as Duracell
1	These do not last long at all very cheap batteries no happy
1	These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity.
1	First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries.
1	These batteries don't last even in a simple digital clock. 2 weeks at best.
1	Date on the back of these were 1992. Yeah, 1992. Inedible.
1	Battery storage life only lasted 8 months (stored indoors).
1	During my first recharging they were leaking and wrapping was coming off. A waste of money
1	These don't last long at all.
1	Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Tried with 4 different Amazon batteries, same results. Very dissatisfied
1	All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!
1	all dead
1	My 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Tried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contacted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without TV for who knows how long and just to make sure, I bought some energizer batteries. Wouldn't you know it, the remote fired right back up. Can't trust these batteries.
1	I use hundreds of AAAs annually, and despite the graphics in ad, these are about the poorest performing, with least longevity, of any I have bought. Still have another 100 of these, but will likely go thru those quickly.
1	These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.
1	Approximately half of the batteries I've tried so far are dead. Low expectations for the remainder of the lot, and never buy these again.
1	Not good
1	I've been using these on my roku remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months
1	Awful poor performance. My mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.
1	These batteries do not hold charge well. By the time I need to use it few weeks none of them work
1	BAD BATCH NOT LASTING!Have been using these for the Roku Remote, and they are dying after just a few days of use.Have been happy with Amazon battery purchases in the past.Not sure if the quality is overall lower than it once was, or if this was just a bad batch.
1	Theses did not work. Wanted to make sure I had batteries for the item I was purchasing but they did not work. I had to dig some out of my junk drawer.
1	Wrong item.
1	Many of the batteries are no good.
1	Wish I didn't buy these. Amazon does a lot of things well but batteries No. Not so much. These do not work for more than a moment. Lay the extra for name brand.
1	Terrible. Just changed the batteries on my wireless keyboard... yesterday. Already dead. Put another set in low powered christmas lights. Dead in about an hour. (I have another identical christmas light set, powered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. Won't make this mistake again.
1	These batteries die very fast. These are used in a remote and I have replaced them 4 times within a year. The previous batteries lasted 3 years.
1	This batteries have been disappointing. Use them for holiday decorations and some of the items that used to go for weeks are not requiring batteries every couple of days.
1	I have two Macs, each with their own wireless mac keyboards. I used these batteries in both keyboards and each worked great for several days. My desk keyboard failed to connect last week so I attempted to replace the batteries, but they had expanded inside the keyboard and will not come out. I assumed it was a chance happening. But now my wireless keyboard at my downstairs computer just failed. The batteries have expanded inside that keyboard as well and will not come out. Amazon refunded us for the batteries but now we need to replace the two keyboards the batteries ruined.
1	Extremely short shelf-life and usage life would never buy Amazon batteries again
1	Beware these batteries - I just packed them up for returning hated to have to do so but they lasted only 5 hours in tiny flashlights for my grand kids !!! Big disappointment too - won't buy this brand batteries again...nor do I recommend them to anyone out there !
1	Just purchased in October and replaced the batteries in my camping lantern this past week using these. The batteries leaked inside the lantern so badly that it wrecked the device altogether. I attempted to clean the contacts and use a different brand batteries, but enough battery acid leaked that the plastic and internals have a permanent coat of oxidation on it. Had to buy a new lantern. Do not plan on purchasing again in future as the batteries are ineligible for a return at this point.
1	I was excited to see that Amazon was allowing its name to be used on batteries as I feel that Amazon is concerned about its image. Bought these batteries and placed four of them into my camera. Took 2 RAW photos and the batteries are now dead. What a disappointment.
1	2 out of the 8 batteries popped while on the charger. I got battery acid all over my hands trying to get them out and cleaned up.
1	None of first eight batteries I opened worked. Tested other batteries to confirm was a battery problem. Confirmed!!!Wow.
1	I change the batteries at least once a month. These things eat batteries like crazy and are hardly used.
1	Had my first battery leak from the package. Installed batteries in November 2016 in house thermostat, so a fairly important device. Not sure when the leak began, but was discovered today (1/13/2017 - little more than two months later) after the furnace was running non-stop and house temperatures reached over 80 F. Checked the batteries and found one had leaked all over the contacts and battery holder in the thermostat.
1	Leaked all over our lantern battery case. I purchased these batteries for an emergency since they had a long shelf life. I put 4 batteries into each of my lanterns and 2 each into my flashlights. I have multiple battery leaks between the lanterns and flashlights. I ended up spending over an hour cleaning up the battery cases and flashlights. I've purchased the AAA pack as well and don't seem to have the same problem.
1	This item arrived with no battery pack. There is no way to power the toy without it because you can't just use regular batteries.
1	Be Careful with this one - I put 4 of these into my TV remote and almost immediately had one pop. I could hear a sizzling sound within the remote and I immediately took out the battery carrier (I inserted them in proper polarity). One of the batteries was actually fizzling at the female end where it had split and was leaking. Unreal.... I've never had a battery do this before. I will NOT be ordering these ever again.
1	Had these in my wii for 2 weeks and the batteries leaked all over.
1	I just went to use these for the first time... and they exploded in the remote I put them in! Literally, a loud pop and a black liquid was leaking out into my remote and all over my hands. Needless to say, it scared me to death!
1	Sorry to say these batteries leaked in a lighted mirror and ruined it. C'mon, Amazon!
1	bought these batteries because the duracell batteries tend to leak, but these batteries i had to replace in five light sets that the duracellslast months these lasted a week. The duracells leak but only if you leave them dormant in the fixture.
1	Bought these for my sisters day care. She said half of them did not work at all, were dead when received
1	The batteries are sligtly bigger and will not fit in some electronics I thought AA was the standard size Nope, I was wrong, but the good news is I now am the proud owner of 48 slightly oversized batteries that do not fit in most of my battery operated devices. Perfect! Out of 9400 reviews nobody noticed the size issue with these
1	I love Amazon. I am a prime member. Have had an amazon credit card for 16 years. Think their service and pricing is second to none.But.... these batteries are garbage. Gar-bage.They really don't work or at the very least don't work most of the time. Even when they do appear to work they only last like 1/4 of the time a normal AA would. Maybe you can justify the pricing for certain situations.Should you use them for led string lights and hope they last a couple months Yep.Portable defribrilator No.RC car Sure.Camera for younger sister's wedding in the Greek Isles Nope.Vibrating nose hair trimmer Ok.Computer battery for your 17 hour flight to Siberia Nyet.Get my drift... sure try them out, and keep trying them, like I have, but don't put any faith in them.
1	These are the WORST batteries I have ever encountered anywhere in my 46-year life! I am appalled that Amazon put their name on them I guarantee that if these had been my first Amazon purchase, I would never have done business here again. If they had not been wrapped in packs of 4 batteries in cellophane, I would have been certain that someone else had used them all up and then returned these batteries to Amazon.None of the batteries was anywhere close to full power - they couldn't provide adequate power to anything I tried them in for any battery-powered item to work properly. Candles and flashlights were so dim I would have required more of them than I am physically capable of carrying to avoid tripping over my own feet. None of the appliance remotes would even turn their respective appliances on after these batteries were inserted. Every item I tried these batteries in also stopped working completely due to a dead battery in less than 30 minutes.Obviously, I should have returned these batteries, and I'm sure I would have done so if my mom had not had a heart attack shortly after I received them. I am just grateful she is now doing so well that neither she nor her cardiac surgeon have to rely on any battery-powered device!!!
1	Not good. Don't last a week.
1	These are wretched batteries. They typically last only two weeks in a TV remote control device, they can't power a computer's mouse beyond a week, and I have serious doubts about their shelf life. Packaging is nice, though, sort of like The Washington Post.
1	Bad investment. Some of the batteries did not even work - no juice in them. Really surprised by the poor quality, Amazon Basics.
1	Terrible batteries!! They exploded all over my face. Received them on a Monday and that Sunday was having problems with my remote so I opened it up and was sprayed in the face with acid. Luckily it missed my eye. I have bought cheap batteries before and never had anything like this happen before!!
1	From experience, the worst batteries I've ever purchased. Not sure if these were manufactured second hand but more than half of the pack died within ONE USE. As a new mom who depends on the quality and longevity of a good battery for her child's needs, I will never order this product ever again.
1	I can only think of one way to describe this item...JUNK!!!
1	I realized after purchasing that the reason you get so many for such great price is because it takes the entire box to equate to one 12 pack of more expensive batteries. The life on these is terrible! I've used them in everything from remote controls to kid toys and they run out VERY fast. Go ahead and spend the extra money for a better quality battery.
1	These batteries did not do the job for us. They were low powered and did not last as long as their competition.I thought all AA batteries were the same but after our experience with these I have to say that you get what you pay for.I am not sure how or why they are different than other batteries, lower voltage less capacitanceThey are cheap - do not buy them.
1	These run down in my TV remote quicker than any battery I have used. TV says low battery within a week of installing. I will try another brand next time. Amazon, please keep an eye on quality and have your manufacturer test and give you results periodically. They will often provide good samples for evaluation early in production and then lower quality later.
1	Amazon brand batteries are very poor quality. Don't last more than 3 months in a remote control (which barely uses any power). This is shameful and stupid as it diminishes confidence in the Amazon brand name.
1	The positive cap is just a little shorter than it's supposed to be. That means battery holders which have shoulders built into them, the positive terminal doesn't touch the contact. The Chinese find creative ways to cut corners to achieve the desired price point of the customer. They do not sacrifice profit...they sacrifice quality...they sacrifice quantity and they sacrifice material. Thanks China!
1	Stopped working in less than 3 months.
1	These batteries are crap. Last a few days in xbox controller. Energizer lasts months. Don't waste your money.
1	DO NOT PURCHASE! These batteries leaked in a machine I was using in my kids room to project stars on the ceiling. When I picked the projector up, it leaked battery fluid on me and burned my arms and legs. It could have gotten on my children! The leaking fluid also ruined the projector.The batteries were new, stored at room temp, used at room temp, not recharged, and not exposed to any fluid or abnormal conditions. Disposing in the appropriate manner.ETA: I was VERY happy with Amazon's resolution despite this bad experience. Thanks Amazon... I'll order batteries from you again. Just not your brand...
1	Just put them in 3 days ago and already dead. Going with the name brand next time.
1	With four kids under the roof, their toys are always in need of AA batteries. I had purchased this AmazonBasics pack of AA batteries for exactly that purpose. The expiration year reads 2024, but after just two years of sitting on the shelf, the batteries that are left are all but dead. They weren't left in cold storage to freeze, they were right on the shelf in our living room. I ended-up going to Radio Shack and purchasing one of their batteries instead.I can only imagine that most of the 5-star reviews for this product are based off initial impressions and short-term use. It's really sad that they just can't hold their own after only two years. Will stick with known brands from now on.
1	Bought a box of 36 aaa batteries and all batteries were dead. Don't waste your money. The only way I rated it 1one star is because it would not except ZERO stars which is what this product deserves.
1	None of these batteries had a full charge. My charge detector never reached the green zone. They were one half used up. This was true for the other two sizes D and AAA.
1	All the batteries came dead. None of them worked. Don't bother buying these.
1	I got two of these batteries with my Fire TV stick. Loaded them in and everything was good for 1.5 days. Then the Fire TV stick stopped responding. I trouble shooted with no fix. Called customer service and they had me trouble shoot too, started by saying can you change the batteries.... my response ... seriously, you want me to change the batteries, it's a freaking TV stick what could possibly be wrong, the batteries are brand new and came with the device. So I was changing the batteries as I was saying all that only for the new batteries to fix the problem. So.... these amazon batteries died in 1.5 days. How does that happen
1	It's seems as thought all of the batteries in the package are already dead. They are only lasting 3-4 days in the devices I'm putting them in. Fairly disappointed
1	These are the worst batteries I have ever come across. I just discovered today that mostof the batteries I was sent were dead. I put 8 batteries into a device 3 weeks ago and the batteries were already dead (energizers lasted a year and a half in the same device) I put 4 others into another device and they lasted only 1 month (energizers lasted 2 years in this device). Both devices were operated under the same conditions. I tried putting new Amazon batteries into the devices, and the devices didn't work I tried putting another set in, same problem. I then placed Energizer batteries into the devices, and they work. I essentially bought 12 working batteries that lasted less than a month in devices that used them in such a manner they would last 12x as long. Never purchasing Amazon batteries again. I would return them for being dead, but I am outside the 30 day return window.
1	The batteries were not operable out of the package. Thought it was the appliance, but replaced with other batteries and it worked fine. Luckily, Amazon's return policy is amazing but I doubt I'll try another one of their Basics brand items anytime soon.
1	Defective and cheap. Only a third held any charge and those died super fast.
1	We must have gotten a defective lot, because these have caused every fire alarm in the house to sound within days of installing these batteries. Too late to return. So much for 10 year shelf life.
